,Title,Movie Rating,Year,Gross Income,Movie Genre,Movie Runtime,IMDb Rating,Votes
5579,Gentleman's Bet,R,1995,0.0,"Drama,Thriller",90,5.8,0.0
5580,Gentlemen Broncos,PG-13,2009,0.11,"Adventure,Comedy,Sci-Fi",90,6.2,11227.0
5581,Gentlemen's Club,R,1995,0.0,Action,105,5.0,0.0
5582,Genuine Risk,R,1990,0.0,"Crime,Thriller",90,4.8,0.0
5583,Geography Club,PG-13,2013,0.0,"Comedy,Drama",84,6.6,0.0
5584,George Anton's Romeo and Juliet,R,2014,0.0,"Adventure,Comedy,Fantasy",64,5.5,0.0
5585,George and the Dragon,PG,2004,0.0,"Action,Adventure,Comedy",93,5.7,0.0
5586,George of the Jungle,PG,1997,105.26,"Action,Adventure,Comedy",92,5.5,73538.0
5587,George of the Jungle 2: Behind the Trees,PG,2003,0.0,"Short,Family",0,4.0,0.0
5588,Georgetown,R,2019,0.0,"Biography,Crime,Drama",99,5.9,0.0
5589,Georgia,R,1995,1.11,"Drama,Music",115,6.6,2895.0
5590,Georgia Rule,R,2007,18.88,"Comedy,Drama",113,5.9,24309.0
5591,Geostorm,PG-13,2017,33.7,"Action,Sci-Fi,Thriller",109,5.3,99412.0
5592,Geraldine Ferraro: Paving the Way,PG,2014,0.0,Documentary,86,7.5,0.0
5593,Geri's Game,G,1997,0.0,"Animation,Short,Family",4,7.9,0.0
5594,Gernika,R,2016,0.0,"Drama,History,Romance",110,5.8,0.0
5595,Geronimo: An American Legend,PG-13,1993,18.64,"Drama,History,Western",115,6.5,9988.0
5596,Gerry,R,2002,0.24,"Adventure,Drama,Mystery",103,6.1,18217.0
5597,Get Bruce,R,1999,0.04,Documentary,82,6.1,631.0
5598,Get Carter,R,2000,14.97,"Action,Crime,Drama",102,5.2,33323.0
5599,Get Hard,R,2015,90.41,"Comedy,Crime",100,6.0,127199.0
5600,Get Him to the Greek,R,2010,60.97,"Comedy,Music",109,6.3,172361.0
5601,Get Low,PG-13,2009,9.18,"Drama,Mystery",103,7.0,22663.0
5602,Get Out,R,2017,176.04,"Horror,Mystery,Thriller",104,7.7,518498.0
5603,Get Over It,PG-13,2001,11.56,"Comedy,Romance",87,5.7,18284.0
5604,Get Rich or Die Tryin',R,2005,30.98,"Biography,Crime,Drama",117,5.4,44991.0
5605,Get Santa,PG,2014,0.0,"Comedy,Family",102,6.3,0.0
5606,Get Shorty,R,1995,72.08,"Comedy,Crime,Thriller",105,6.9,79334.0
5607,Get Smart,PG-13,2008,130.32,"Action,Adventure,Comedy",110,6.5,208238.0
5608,Get Smart's Bruce and Lloyd Out of Control,PG-13,2008,0.0,"Action,Comedy,Romance",72,4.9,0.0
5609,Get Thee Behind Me!,G,2005,0.0,Musical,106,5.2,0.0
5610,Get Well Soon,R,2001,0.0,"Comedy,Drama,Romance",95,5.2,0.0
5611,Get a Horse!,G,2013,0.0,"Animation,Short,Comedy",6,7.5,0.0
5612,Get a Job,R,2016,0.0,Comedy,83,5.3,0.0
5613,Get a Job,R,2011,0.0,Comedy,89,7.2,0.0
5614,John Lewis: Get in the Way,PG,2017,0.0,"Documentary,Biography,History",60,7.4,0.0
5615,Get on Up,PG-13,2014,30.51,"Biography,Drama,Music",139,6.9,23520.0
5616,Get on the Bus,R,1996,5.73,"Adventure,Drama,History",120,6.8,5338.0
