Title,Movie Rating,Year,Gross Income in millions (USD),Movie Genre,Movie Runtime,IMDb Rating,Votes,Budget in millions (USD),Profit percent
47 Ronin,PG-13,2013,38.36,"Action,Drama,Fantasy",128,6.3,152311.0,175.0,-78.08
Fantastic Four: Rise of the Silver Surfer,PG,2007,131.92,"Action,Adventure,Fantasy",92,5.6,254730.0,120.0,9.933333333333323
Fantastic Four: Rise of the Silver Surfer,PG,2007,131.92,"Action,Adventure,Fantasy",92,5.6,254768.0,120.0,9.933333333333323
5 Days of War,R,2011,0.02,"Action,Drama,War",113,5.6,13607.0,12.0,-99.83333333333334
5 Days of War,R,2011,0.02,"Action,Drama,War",113,5.6,13614.0,12.0,-99.83333333333334
50 First Dates,PG-13,2004,120.91,"Comedy,Drama,Romance",99,6.8,335508.0,75.0,61.21333333333333
50 First Dates,PG-13,2004,120.91,"Comedy,Drama,Romance",99,6.8,335550.0,75.0,61.21333333333333
50 to 1,PG-13,2014,1.06,Drama,110,6.4,1966.0,10.0,-89.39999999999999
50 to 1,PG-13,2014,1.06,Drama,110,6.4,1969.0,10.0,-89.39999999999999
50/50,R,2011,35.01,"Comedy,Drama,Romance",100,7.6,319959.0,8.0,337.625
50/50,R,2011,35.01,"Comedy,Drama,Romance",100,7.6,319992.0,8.0,337.625
54,R,1998,16.57,"Drama,Music",93,5.8,32115.0,13.0,27.461538461538463
54,R,1998,16.57,"Drama,Music",93,5.8,32142.0,13.0,27.461538461538463
8 Days,PG-13,2014,22.53,"Drama,Thriller",90,4.8,51491.0,2.5,-100.0
8 Days,PG-13,2014,22.53,"Drama,Thriller",90,4.8,51491.0,2.5,-100.0
8 Heads in a Duffel Bag,R,1997,3.56,"Adventure,Comedy,Crime",95,5.4,10011.0,3.0,18.666666666666668
8 Heads in a Duffel Bag,R,1997,3.56,"Adventure,Comedy,Crime",95,5.4,10025.0,3.0,18.666666666666668
8 Mile,R,2002,116.72,"Drama,Music",110,7.1,259973.0,41.0,184.68292682926827
8 Mile,R,2002,116.72,"Drama,Music",110,7.1,260049.0,41.0,184.68292682926827
88 Minutes,R,2007,16.93,"Crime,Drama,Mystery",108,5.9,74682.0,30.0,-43.56666666666667
88 Minutes,R,2007,16.93,"Crime,Drama,Mystery",108,5.9,74692.0,30.0,-43.56666666666667
8: The Mormon Proposition,R,2010,0.1,Documentary,80,7.0,1218.0,2.5,-96.0
8: The Mormon Proposition,R,2010,0.1,Documentary,80,7.0,1219.0,2.5,-96.0
8MM,R,1999,36.66,"Crime,Drama,Mystery",123,6.5,126862.0,40.0,-8.350000000000009
8MM,R,1999,36.66,"Crime,Drama,Mystery",123,6.5,126890.0,40.0,-8.350000000000009
9,PG-13,2009,31.74,"Animation,Action,Adventure",79,7.1,135309.0,30.0,5.7999999999999945
